dataset,method,budget_tokens,n,sp_recall,sp_prec,sp_f1,em,f1,context_tokens,num_selected,prompt_tokens,output_tokens,retrieval_latency_s,llm_latency_s,cost_usd_per_question
2Wiki,Ours v2,600,181,0.9585635359116023,0.17169426923829745,0.28431466634447855,0.5138121546961326,0.6305950188546875,447.0662983425414,14.911602209944752,568.1933701657458,3.8784530386740332,0.34513254902095314,1.0490595720768185,8.755607734806629e-05
2Wiki,Uniform PPR,200,200,0.799,0.2899193722943723,0.4131079198579199,,,193.635,6.75,,,0.0026549284922657533,,
HotpotQA,-ConditionalScoring,200,200,0.8615,0.34153084415584417,0.4776298978798979,0.58,0.6937420634920636,195.485,6.3,303.51,3.45,0.002983251871482935,0.7584060268406756,4.75965e-05
HotpotQA,-DisagreementGate,200,200,0.8410833333333333,0.333840367965368,0.46643051393051393,0.565,0.6949603174603175,195.005,6.29,304.2,3.5,1.3981617127370556,0.8782428422899102,4.773e-05
HotpotQA,-GraphScore,200,200,0.8498333333333333,0.33478679653679655,0.46876134976134975,0.57,0.6992936507936508,195.28,6.33,304.885,3.445,1.3984189512309968,0.7615224998362828,4.779975e-05
HotpotQA,-PairPreservation,200,200,0.8281666666666666,0.3278939393939394,0.458430513930514,0.56,0.6910714285714286,195.23,6.31,304.23,3.46,1.39815500645258,0.8180392873138771,4.7710500000000003e-05
HotpotQA,-Router,200,200,0.8452500000000001,0.3327205988455988,0.46648068598068604,0.56,0.6966269841269842,195.345,6.31,303.82,3.475,1.397844083517266,0.7626793918936164,4.7658000000000003e-05
HotpotQA,Dense CE,100,200,0.6543333333333333,0.6473333333333333,0.6231428571428572,0.435,0.5449487734487733,78.985,2.515,172.27,3.455,1.1105720953899436,0.7641251020741765,2.7913500000000003e-05
HotpotQA,Dense CE,150,200,0.79675,0.5121547619047618,0.5975650183150184,0.535,0.6607341269841269,127.69,3.975,225.55,3.56,1.1104835081426427,0.7713008268870181,3.5968500000000006e-05
HotpotQA,Dense CE,200,200,0.8541666666666665,0.39409163059163055,0.5221320346320346,0.575,0.6953055555555555,179.695,5.515,282.89,3.46,1.1104963482663153,0.8355430816544686,4.45095e-05
HotpotQA,Dense CE,300,200,0.925,0.27366490453990455,0.4137146011453287,0.62,0.7514484126984127,279.79,8.45,394.275,3.58,1.110556384010124,0.8020970068508178,6.128924999999999e-05
HotpotQA,Dense CE,400,200,0.95125,0.20824649574281928,0.3364473100085329,0.63,0.7429444444444445,377.37,11.38,502.84,3.455,1.1105797949872795,0.7853436500337557,7.749899999999998e-05
HotpotQA,Dense CE,600,200,0.985,0.13953315372138145,0.24180538277104507,0.63,0.7469563492063491,578.225,17.56,717.615,3.59,1.1106879101291998,0.752569495626085,0.00010979625
HotpotQA,Graph 1-hop CE,100,200,0.6559999999999999,0.6571666666666667,0.6267857142857143,0.44,0.541063492063492,78.665,2.495,171.825,3.495,0.22068690852844156,0.7609347599800094,2.7870749999999997e-05
